ID,时间,分类,二级分类,类型,金额,币种,账户1,账户2,备注,已报销,手续费,优惠券,记账者,账单标记,标签,账单图片,关联账单
qj1767167638500186241,2025/12/31 15:53,设备,,支出,60,CNY,,,制糖工厂贴贴线,,,,Marcus,,,,
qj1767167622357114522,2025/12/31 15:53,设备,,支出,189,CNY,,,Pgytech收纳读卡器,,,,Marcus,,,,
qj1766792673857196907,2025/12/31 07:44,旅行,交通,支出,3000,CNY,,,年度打车费汇总,,,,Marcus,,,,
qj1767091506854146979,2025/12/30 18:44,设备,,支出,649,CNY,,,存储 东芝A5 移动机械硬盘 2TB,,,,Marcus,,,,
qj1766934287053156171,2025/12/28 23:04,家人,补贴,收入,3000,CNY,,,妈咪 阿勒泰滑雪补贴,,,,Marcus,,,,
qj1766909843888102699,2025/12/28 16:17,教培,课时费,收入,300,CNY,,,小周 小学英语,,,,Marcus,,,,
qj1766815427817179067,2025/12/27 22:56,旅行,项目,支出,550,CNY,,,阿勒泰文创汇总 社交维护,,,,Marcus,,,,
qj1766674607231186928,2025/12/27 22:56,旅行,吃喝,支出,1550,CNY,,,阿勒泰滑雪 吃喝汇总 10天,,,,Marcus,,,,
qj1766673672722154717,2025/12/27 22:41,旅行,项目,支出,1000,CNY,,,阿勒泰滑雪 雪具租赁 三件套5天+欧克利雪镜3天,,,,Marcus,,,,
qj1766672880047148438,2025/12/27 22:27,旅行,项目,支出,1600,CNY,,,阿勒泰滑雪 雪票 将军山全天 5天,,,,Marcus,,,,
qj1766672659213157330,2025/12/27 22:24,旅行,项目,支出,600,CNY,,,阿勒泰滑雪 教练 两小时,,,,Marcus,,,,
qj1763611980826127374,2025/12/27 12:13,旅行,住宿,支出,1500,CNY,,,阿勒泰滑雪 青旅 将军山7晚+禾木3晚,,,,Marcus,,,,
qj1763611936457157744,2025/12/27 12:12,旅行,交通,支出,3200,CNY,,,阿勒泰滑雪 往返机票+禾木拼车往返+日常打车,,,,Marcus,,,,
qj1765935485982124467,2025/12/17 09:37,奖学金,国家奖学金,收入,600,CNY,,,研究生补助 十二月,,,,Marcus,,,,
qj1765877448498122806,2025/12/16 17:30,奖学金,学校奖学金,收入,700,CNY,,,一等奖学金 十二月,,,,Marcus,,,,
qj1765712110774158857,2025/12/14 19:35,教培,课时费,收入,300,CNY,,,小周 小学英语,,,,Marcus,,,,
qj1765551980150120952,2025/12/12 23:05,兴趣,,支出,1200,CNY,,,滑雪 雪服升级 上衣+裤子,,,,Marcus,,,,
qj1765380098682125677,2025/12/10 23:21,家人,补贴,收入,5500,CNY,,,妈咪 阿勒泰滑雪补贴,,,,Marcus,,,,
qj1765284639335171567,2025/12/7 20:50,教培,课时费,收入,300,CNY,,,小周 小学英语,,,,Marcus,,,,
qj1764839642808193400,2025/12/4 17:13,兴趣,,支出,345,CNY,,,摄影 补光灯+手电+丢丢杆+手机架,,,,Marcus,,,,
qj1764483897397102371,2025/12/1 18:41,家人,生活费,收入,2000,CNY,,,,,,,Marcus,,,,
qj1763548888216104351,2025/12/1 18:41,房租,,支出,2104.78,CNY,,,,,,,Marcus,,,,
qj1764240917533131286,2025/11/27 18:55,家人,补贴,收入,2000,CNY,,,妈咪 冬季服装补贴,,,,Marcus,,,,
qj1763894758631126864,2025/11/23 18:45,教培,课时费,收入,300,CNY,,,小赵 初中英语,,,,Marcus,,,,
qj1763875987223151949,2025/11/23 13:32,教培,课时费,收入,300,CNY,,,小周 小学英语,,,,Marcus,,,,
qj1763698120146179501,2025/11/22 12:08,教培,课时费,收入,360,CNY,,,孙艺夫 高中英语,,,,Marcus,,,,
qj1753847578925101314,2025/11/22 11:52,教培,课时费,收入,360,CNY,,,孙雪慧 高中英语,,,,Marcus,,,,
qj1763723423055154151,2025/11/21 19:10,奖学金,学校奖学金,收入,700,CNY,,,一等奖学金 十一月,,,,Marcus,,,,
qj1763723397509135985,2025/11/21 19:09,奖学金,国家奖学金,收入,600,CNY,,,研究生补助 十一月,,,,Marcus,,,,
qj1762756370091175797,2025/11/21 14:32,教培,课时费,收入,360,CNY,,,孙艺夫 高中英语,,,,Marcus,,,,
qj1763684780492139989,2025/11/15 08:26,兴趣,,支出,1200,CNY,,,摄影 iPhone XS,,,,Marcus,,,,
qj1763165833401177919,2025/11/15 08:16,教培,课时费,收入,300,CNY,,,小赵 初中英语,,,,Marcus,,,,
qj1763684610118108055,2025/11/14 08:22,兴趣,,支出,1200,CNY,,,摄影 镜头 尼康24mmf1.7,,,,Marcus,,,,
qj1762787015925144837,2025/11/10 23:03,教培,试课费,收入,160,CNY,,,小舒 初中英语,,,,Marcus,,,,
qj1762676840196190239,2025/11/9 16:27,教培,课时费,收入,300,CNY,,,小赵 初中英语,,,,Marcus,,,,
qj1762676831571178094,2025/11/9 16:27,教培,课时费,收入,300,CNY,,,小周 小学英语,,,,Marcus,,,,
qj1762590060846131371,2025/11/8 16:59,教培,课时费,收入,300,CNY,,,小周 小学英语,,,,Marcus,,,,
qj1762505985441109894,2025/11/8 16:59,教培,课时费,收入,360,CNY,,,孙雪慧 高中英语,,,,Marcus,,,,
qj1762214220529114616,2025/11/4 13:14,家人,红包,收入,1496,CNY,,,家人 农历生日红包,,,,Marcus,,,,
qj1761542097520166366,2025/11/4 13:14,教培,课时费,收入,360,CNY,,,孙艺夫 高中英语,,,,Marcus,,,,
qj1761542076472152562,2025/11/3 13:14,教培,课时费,收入,360,CNY,,,孙艺夫 高中英语,,,,Marcus,,,,
qj1762081281462193365,2025/11/2 19:01,教培,课时费,收入,300,CNY,,,小赵 高中英语,,,,Marcus,,,,
qj1763609190988115264,2025/11/1 18:19,兴趣,,支出,100,CNY,,,滑雪 教练教学 一小时,,,,Marcus,,,,
qj1762851114291138826,2025/11/1 18:19,兴趣,,支出,1600,CNY,,,滑雪 场地交通 融创四次,,,,Marcus,,,,
qj1762851072162152060,2025/11/1 18:19,兴趣,,支出,900,CNY,,,滑雪 装备 雪镜+手套+护脸,,,,Marcus,,,,
qj1762851031084116542,2025/11/1 18:19,兴趣,,支出,1800,CNY,,,滑雪 护具 护膝+护臀+头盔,,,,Marcus,,,,
qj1762851010494187549,2025/11/1 18:19,兴趣,,支出,600,CNY,,,滑雪 服装初代 速干衣+冲锋衣+冲锋裤,,,,Marcus,,,,
qj1762064870865120383,2025/11/1 18:19,家人,生活费,收入,2000,CNY,,,,,,,Marcus,,,,
qj1760955551106178608,2025/11/1 18:19,房租,,支出,2104.78,CNY,,,,,,,Marcus,,,,
qj1762065255467109926,2025/10/31 14:33,家人,红包,收入,720,CNY,,,妈咪 生日红包雨,,,,Marcus,,,,
qj1763614858121127134,2025/10/30 13:00,旅行,吃喝,支出,450,CNY,,,成都 日常吃喝+生日蛋糕 共2天,,,,Marcus,,,,
qj1763614725700123090,2025/10/30 12:58,旅行,项目,支出,220,CNY,,,成都 万圣节欢乐谷,,,,Marcus,,,,
qj1763614647297141212,2025/10/30 12:57,旅行,住宿,支出,380,CNY,,,成都 亚朵酒店2晚 with 容思瑞,,,,Marcus,,,,
qj1763614548366188999,2025/10/30 12:55,旅行,交通,支出,450,CNY,,,成都 神州租车 特斯拉Model3 共2天,,,,Marcus,,,,
qj1759910789563192203,2025/10/26 16:06,教培,课时费,收入,300,CNY,,,小周 小学英语,,,,Marcus,,,,
qj1762847671162159048,2025/10/24 15:54,家人,补贴,收入,12000,CNY,,,妈咪 学费补贴,,,,Marcus,,,,
qj1761272384194126761,2025/10/24 13:20,家人,补贴,收入,2000,CNY,,,妈咪 滑雪装备补贴,,,,Marcus,,,,
qj1760937628401150317,2025/10/24 13:20,教培,课时费,收入,240,CNY,,,孙艺夫 高中英语,,,,Marcus,,,,
qj1761116091771148623,2025/10/22 14:54,奖学金,学校奖学金,收入,700,CNY,,,一等奖学金 十月,,,,Marcus,,,,
qj1761116082119176628,2025/10/22 14:54,奖学金,国家奖学金,收入,600,CNY,,,研究生补助 十月,,,,Marcus,,,,
qj1760937615974177871,2025/10/21 13:20,教培,课时费,收入,240,CNY,,,孙艺夫 高中英语,,,,Marcus,,,,
qj1760520227282140187,2025/10/20 17:23,教培,课时费,收入,240,CNY,,,孙艺夫 高中英语,,,,Marcus,,,,
qj1760937584229127374,2025/10/20 13:19,设备,,支出,229,CNY,,,存储 金士顿视频卡 256G,,,,Marcus,,,,
